Time,X(CH2),
Second,Volt,
-3.0000000e+00,7.20000e-01,
-2.9900000e+00,5.20000e-01,
-2.9800000e+00,5.60000e-01,
-2.9700000e+00,7.20000e-01,
-2.9600000e+00,7.20000e-01,
-2.9500000e+00,5.20000e-01,
-2.9400001e+00,7.20000e-01,
-2.9300001e+00,5.20000e-01,
-2.9200001e+00,7.20000e-01,
-2.9100001e+00,5.20000e-01,
-2.9000001e+00,5.20000e-01,
-2.8900001e+00,7.20000e-01,
-2.8800001e+00,5.20000e-01,
-2.8700001e+00,7.20000e-01,
-2.8600001e+00,5.60000e-01,
-2.8500001e+00,7.20000e-01,
-2.8400002e+00,7.20000e-01,
-2.8300002e+00,4.80000e-01,
-2.8200002e+00,4.80000e-01,
-2.8100002e+00,1.60000e-01,
-2.8000002e+00,1.60000e-01,
-2.7900002e+00,3.60000e-01,
-2.7800002e+00,3.20000e-01,
-2.7700002e+00,5.20000e-01,
-2.7600002e+00,4.00000e-01,
-2.7500002e+00,6.40000e-01,
-2.7400002e+00,4.80000e-01,
-2.7300003e+00,6.80000e-01,
-2.7200003e+00,5.20000e-01,
-2.7100003e+00,7.20000e-01,
-2.7000003e+00,7.20000e-01,
-2.6900003e+00,5.20000e-01,
-2.6800003e+00,5.20000e-01,
-2.6700003e+00,7.20000e-01,
-2.6600003e+00,5.20000e-01,
-2.6500003e+00,7.20000e-01,
-2.6400003e+00,5.20000e-01,
-2.6300004e+00,7.20000e-01,
-2.6200004e+00,5.20000e-01,
-2.6100004e+00,7.20000e-01,
-2.6000004e+00,7.20000e-01,
-2.5900004e+00,5.20000e-01,
-2.5800004e+00,5.20000e-01,
-2.5700004e+00,7.20000e-01,
-2.5600004e+00,5.20000e-01,
-2.5500004e+00,7.20000e-01,
-2.5400004e+00,7.20000e-01,
-2.5300004e+00,5.20000e-01,
-2.5200005e+00,5.20000e-01,
-2.5100005e+00,7.20000e-01,
-2.5000005e+00,5.20000e-01,
-2.4900005e+00,7.20000e-01,
-2.4800005e+00,5.20000e-01,
-2.4700005e+00,7.20000e-01,
-2.4600005e+00,5.60000e-01,
-2.4500005e+00,7.20000e-01,
-2.4400005e+00,5.20000e-01,
-2.4300005e+00,7.20000e-01,
-2.4200006e+00,5.20000e-01,
-2.4100006e+00,7.20000e-01,
-2.4000006e+00,5.20000e-01,
-2.3900006e+00,7.20000e-01,
-2.3800006e+00,5.20000e-01,
-2.3700006e+00,7.20000e-01,
-2.3600006e+00,5.20000e-01,
-2.3500006e+00,7.20000e-01,
-2.3400006e+00,7.20000e-01,
-2.3300006e+00,5.20000e-01,
-2.3200006e+00,5.20000e-01,
-2.3100007e+00,6.80000e-01,
-2.3000007e+00,6.40000e-01,
-2.2900007e+00,4.00000e-01,
-2.2800007e+00,4.00000e-01,
-2.2700007e+00,2.40000e-01,
-2.2600007e+00,2.40000e-01,
-2.2500007e+00,6.40000e-01,
-2.2400007e+00,5.20000e-01,
-2.2300007e+00,7.20000e-01,
-2.2200007e+00,5.60000e-01,
-2.2100008e+00,7.20000e-01,
-2.2000008e+00,5.60000e-01,
-2.1900008e+00,7.60000e-01,
-2.1800008e+00,5.60000e-01,
-2.1700008e+00,7.60000e-01,
-2.1600008e+00,5.60000e-01,
-2.1500008e+00,7.60000e-01,
-2.1400008e+00,5.60000e-01,
-2.1300008e+00,7.60000e-01,
-2.1200008e+00,5.60000e-01,
-2.1100008e+00,7.60000e-01,
-2.1000009e+00,5.60000e-01,
-2.0900009e+00,7.60000e-01,
-2.0800009e+00,5.60000e-01,
-2.0700009e+00,7.60000e-01,
-2.0600009e+00,5.60000e-01,
-2.0500009e+00,7.60000e-01,
-2.0400009e+00,5.60000e-01,
-2.0300009e+00,7.60000e-01,
-2.0200009e+00,5.60000e-01,
-2.0100009e+00,7.60000e-01,
-2.0000010e+00,5.60000e-01,
-1.9900010e+00,7.60000e-01,
-1.9800010e+00,5.60000e-01,
-1.9700010e+00,7.60000e-01,
-1.9600010e+00,5.60000e-01,
-1.9500010e+00,7.20000e-01,
-1.9400010e+00,7.20000e-01,
-1.9300010e+00,5.20000e-01,
-1.9200010e+00,7.20000e-01,
-1.9100010e+00,5.20000e-01,
-1.9000010e+00,5.20000e-01,
-1.8900011e+00,7.20000e-01,
-1.8800011e+00,5.60000e-01,
-1.8700011e+00,7.20000e-01,
-1.8600011e+00,5.60000e-01,
-1.8500011e+00,7.20000e-01,
-1.8400011e+00,5.60000e-01,
-1.8300011e+00,7.60000e-01,
-1.8200011e+00,5.60000e-01,
-1.8100011e+00,7.60000e-01,
-1.8000011e+00,5.60000e-01,
-1.7900012e+00,7.60000e-01,
-1.7800012e+00,7.60000e-01,
-1.7700012e+00,5.60000e-01,
-1.7600012e+00,6.40000e-01,
-1.7500012e+00,2.40000e-01,
-1.7400012e+00,1.60000e-01,
-1.7300012e+00,3.20000e-01,
-1.7200012e+00,2.80000e-01,
-1.7100012e+00,4.80000e-01,
-1.7000012e+00,4.00000e-01,
-1.6900012e+00,6.00000e-01,
-1.6800013e+00,4.80000e-01,
-1.6700013e+00,6.80000e-01,
-1.6600013e+00,5.20000e-01,
-1.6500013e+00,6.80000e-01,
-1.6400013e+00,5.20000e-01,
-1.6300013e+00,7.20000e-01,
-1.6200013e+00,5.20000e-01,
-1.6100013e+00,7.20000e-01,
-1.6000013e+00,7.20000e-01,
-1.5900013e+00,5.20000e-01,
-1.5800014e+00,5.20000e-01,
-1.5700014e+00,7.20000e-01,
-1.5600014e+00,7.20000e-01,
-1.5500014e+00,5.20000e-01,
-1.5400014e+00,5.60000e-01,
-1.5300014e+00,7.20000e-01,
-1.5200014e+00,5.60000e-01,
-1.5100014e+00,7.20000e-01,
-1.5000014e+00,7.20000e-01,
-1.4900014e+00,5.20000e-01,
-1.4800014e+00,5.20000e-01,
-1.4700015e+00,7.20000e-01,
-1.4600015e+00,5.20000e-01,
-1.4500015e+00,7.20000e-01,
-1.4400015e+00,5.20000e-01,
-1.4300015e+00,7.20000e-01,
-1.4200015e+00,5.20000e-01,
-1.4100015e+00,7.20000e-01,
-1.4000015e+00,5.20000e-01,
-1.3900015e+00,7.20000e-01,
-1.3800015e+00,5.20000e-01,
-1.3700016e+00,7.20000e-01,
-1.3600016e+00,7.20000e-01,
-1.3500016e+00,5.20000e-01,
-1.3400016e+00,5.20000e-01,
-1.3300016e+00,7.20000e-01,
-1.3200016e+00,7.20000e-01,
-1.3100016e+00,5.20000e-01,
-1.3000016e+00,5.20000e-01,
-1.2900016e+00,7.20000e-01,
-1.2800016e+00,5.20000e-01,
-1.2700016e+00,7.20000e-01,
-1.2600017e+00,5.20000e-01,
-1.2500017e+00,6.80000e-01,
-1.2400017e+00,4.80000e-01,
-1.2300017e+00,6.40000e-01,
-1.2200017e+00,5.20000e-01,
-1.2100017e+00,2.40000e-01,
-1.2000017e+00,2.40000e-01,
-1.1900017e+00,6.40000e-01,
-1.1800017e+00,4.80000e-01,
-1.1700017e+00,7.20000e-01,
-1.1600018e+00,5.60000e-01,
-1.1500018e+00,7.20000e-01,
-1.1400018e+00,7.20000e-01,
-1.1300018e+00,5.20000e-01,
-1.1200018e+00,5.60000e-01,
-1.1100018e+00,7.20000e-01,
-1.1000018e+00,5.20000e-01,
-1.0900018e+00,7.20000e-01,
-1.0800018e+00,5.20000e-01,
-1.0700018e+00,7.20000e-01,
-1.0600019e+00,5.20000e-01,
-1.0500019e+00,7.20000e-01,
-1.0400019e+00,5.20000e-01,
-1.0300019e+00,7.20000e-01,
-1.0200019e+00,7.20000e-01,
-1.0100019e+00,5.20000e-01,
-1.0000019e+00,7.20000e-01,
-9.9000192e-01,5.20000e-01,
-9.8000193e-01,5.20000e-01,
-9.7000194e-01,7.20000e-01,
-9.6000195e-01,5.60000e-01,
-9.5000196e-01,7.20000e-01,
-9.4000196e-01,7.20000e-01,
-9.3000197e-01,5.20000e-01,
-9.2000198e-01,5.20000e-01,
-9.1000199e-01,7.20000e-01,
-9.0000200e-01,5.60000e-01,
-8.9000201e-01,7.20000e-01,
-8.8000202e-01,5.20000e-01,
-8.7000203e-01,7.20000e-01,
-8.6000204e-01,5.20000e-01,
-8.5000205e-01,7.20000e-01,
-8.4000206e-01,5.20000e-01,
-8.3000207e-01,7.20000e-01,
-8.2000208e-01,7.20000e-01,
-8.1000209e-01,5.20000e-01,
-8.0000210e-01,5.20000e-01,
-7.9000211e-01,7.20000e-01,
-7.8000212e-01,7.20000e-01,
-7.7000213e-01,5.20000e-01,
-7.6000214e-01,7.20000e-01,
-7.5000215e-01,5.20000e-01,
-7.4000216e-01,5.60000e-01,
-7.3000216e-01,7.20000e-01,
-7.2000217e-01,5.60000e-01,
-7.1000218e-01,7.20000e-01,
-7.0000219e-01,7.20000e-01,
-6.9000220e-01,3.20000e-01,
-6.8000221e-01,3.20000e-01,
-6.7000222e-01,1.20000e-01,
-6.6000223e-01,2.40000e-01,
-6.5000224e-01,4.80000e-01,
-6.4000225e-01,4.00000e-01,
-6.3000226e-01,5.60000e-01,
-6.2000227e-01,4.40000e-01,
-6.1000228e-01,6.40000e-01,
-6.0000229e-01,5.20000e-01,
-5.9000230e-01,6.80000e-01,
-5.8000231e-01,5.20000e-01,
-5.7000232e-01,7.20000e-01,
-5.6000233e-01,7.20000e-01,
-5.5000234e-01,5.60000e-01,
-5.4000235e-01,7.20000e-01,
-5.3000236e-01,5.20000e-01,
-5.2000237e-01,7.20000e-01,
-5.1000237e-01,5.20000e-01,
