Time,X(CH2),
Second,Volt,
-6.0000002e-01,5.20000e-01,
-5.9800005e-01,6.40000e-01,
-5.9600008e-01,6.40000e-01,
-5.9400010e-01,6.80000e-01,
-5.9200013e-01,6.00000e-01,
-5.9000015e-01,5.20000e-01,
-5.8800018e-01,5.60000e-01,
-5.8600020e-01,6.80000e-01,
-5.8400023e-01,6.80000e-01,
-5.8200026e-01,5.60000e-01,
-5.8000028e-01,5.20000e-01,
-5.7800031e-01,6.40000e-01,
-5.7600033e-01,7.20000e-01,
-5.7400036e-01,6.40000e-01,
-5.7200038e-01,6.00000e-01,
-5.7000041e-01,5.20000e-01,
-5.6800044e-01,5.60000e-01,
-5.6600046e-01,7.20000e-01,
-5.6400049e-01,7.20000e-01,
-5.6200051e-01,5.60000e-01,
-5.6000054e-01,5.60000e-01,
-5.5800056e-01,6.80000e-01,
-5.5600059e-01,7.20000e-01,
-5.5400062e-01,6.40000e-01,
-5.5200064e-01,6.00000e-01,
-5.5000067e-01,5.60000e-01,
-5.4800069e-01,6.00000e-01,
-5.4600072e-01,7.20000e-01,
-5.4400074e-01,7.20000e-01,
-5.4200077e-01,5.60000e-01,
-5.4000080e-01,5.60000e-01,
-5.3800082e-01,6.40000e-01,
-5.3600085e-01,7.20000e-01,
-5.3400087e-01,6.40000e-01,
-5.3200090e-01,6.40000e-01,
-5.3000093e-01,5.20000e-01,
-5.2800095e-01,5.60000e-01,
-5.2600098e-01,7.20000e-01,
-5.2400100e-01,7.20000e-01,
-5.2200103e-01,5.20000e-01,
-5.2000105e-01,5.20000e-01,
-5.1800108e-01,6.80000e-01,
-5.1600111e-01,7.20000e-01,
-5.1400113e-01,6.40000e-01,
-5.1200116e-01,6.00000e-01,
-5.1000118e-01,5.20000e-01,
-5.0800121e-01,6.00000e-01,
-5.0600123e-01,7.20000e-01,
-5.0400126e-01,7.20000e-01,
-5.0200129e-01,5.60000e-01,
-5.0000131e-01,5.20000e-01,
-4.9800131e-01,6.40000e-01,
-4.9600130e-01,7.20000e-01,
-4.9400130e-01,6.40000e-01,
-4.9200130e-01,6.00000e-01,
-4.9000129e-01,5.20000e-01,
-4.8800129e-01,5.60000e-01,
-4.8600128e-01,7.20000e-01,
-4.8400128e-01,6.80000e-01,
-4.8200127e-01,5.60000e-01,
-4.8000127e-01,5.20000e-01,
-4.7800127e-01,6.80000e-01,
-4.7600126e-01,7.20000e-01,
-4.7400126e-01,6.00000e-01,
-4.7200125e-01,6.00000e-01,
-4.7000125e-01,5.60000e-01,
-4.6800125e-01,6.00000e-01,
-4.6600124e-01,7.20000e-01,
-4.6400124e-01,7.20000e-01,
-4.6200123e-01,5.60000e-01,
-4.6000123e-01,5.20000e-01,
-4.5800123e-01,6.40000e-01,
-4.5600122e-01,7.20000e-01,
-4.5400122e-01,6.40000e-01,
-4.5200121e-01,6.40000e-01,
-4.5000121e-01,5.20000e-01,
-4.4800121e-01,6.00000e-01,
-4.4600120e-01,7.20000e-01,
-4.4400120e-01,7.20000e-01,
-4.4200119e-01,5.60000e-01,
-4.4000119e-01,5.20000e-01,
-4.3800119e-01,6.80000e-01,
-4.3600118e-01,7.20000e-01,
-4.3400118e-01,6.40000e-01,
-4.3200117e-01,6.40000e-01,
-4.3000117e-01,5.20000e-01,
-4.2800117e-01,5.60000e-01,
-4.2600116e-01,7.20000e-01,
-4.2400116e-01,7.20000e-01,
-4.2200115e-01,5.60000e-01,
-4.2000115e-01,5.20000e-01,
-4.1800115e-01,6.40000e-01,
-4.1600114e-01,7.20000e-01,
-4.1400114e-01,6.40000e-01,
-4.1200113e-01,6.00000e-01,
-4.1000113e-01,5.20000e-01,
-4.0800112e-01,6.00000e-01,
-4.0600112e-01,7.20000e-01,
-4.0400112e-01,7.20000e-01,
-4.0200111e-01,5.60000e-01,
-4.0000111e-01,5.60000e-01,
-3.9800110e-01,6.80000e-01,
-3.9600110e-01,7.20000e-01,
-3.9400110e-01,6.40000e-01,
-3.9200109e-01,6.40000e-01,
-3.9000109e-01,5.60000e-01,
-3.8800108e-01,6.00000e-01,
-3.8600108e-01,7.20000e-01,
-3.8400108e-01,7.60000e-01,
-3.8200107e-01,6.00000e-01,
-3.8000107e-01,5.60000e-01,
-3.7800106e-01,6.80000e-01,
-3.7600106e-01,7.20000e-01,
-3.7400106e-01,7.60000e-01,
-3.7200105e-01,6.80000e-01,
-3.7000105e-01,5.60000e-01,
-3.6800104e-01,6.00000e-01,
-3.6600104e-01,7.20000e-01,
-3.6400104e-01,7.60000e-01,
-3.6200103e-01,5.60000e-01,
-3.6000103e-01,5.60000e-01,
-3.5800102e-01,6.80000e-01,
-3.5600102e-01,7.20000e-01,
-3.5400102e-01,6.80000e-01,
-3.5200101e-01,6.40000e-01,
-3.5000101e-01,5.60000e-01,
-3.4800100e-01,6.00000e-01,
-3.4600100e-01,7.20000e-01,
-3.4400100e-01,7.20000e-01,
-3.4200099e-01,5.60000e-01,
-3.4000099e-01,5.20000e-01,
-3.3800098e-01,6.40000e-01,
-3.3600098e-01,6.80000e-01,
-3.3400097e-01,7.20000e-01,
-3.3200097e-01,6.40000e-01,
-3.3000097e-01,5.60000e-01,
-3.2800096e-01,5.60000e-01,
-3.2600096e-01,7.20000e-01,
-3.2400095e-01,7.20000e-01,
-3.2200095e-01,5.60000e-01,
-3.2000095e-01,5.60000e-01,
-3.1800094e-01,6.80000e-01,
-3.1600094e-01,7.20000e-01,
-3.1400093e-01,6.40000e-01,
-3.1200093e-01,6.40000e-01,
-3.1000093e-01,5.20000e-01,
-3.0800092e-01,6.00000e-01,
-3.0600092e-01,7.20000e-01,
-3.0400091e-01,7.20000e-01,
-3.0200091e-01,5.60000e-01,
-3.0000091e-01,5.20000e-01,
-2.9800090e-01,6.40000e-01,
-2.9600090e-01,7.20000e-01,
-2.9400089e-01,6.40000e-01,
-2.9200089e-01,6.40000e-01,
-2.9000089e-01,5.60000e-01,
-2.8800088e-01,5.60000e-01,
-2.8600088e-01,7.20000e-01,
-2.8400087e-01,7.20000e-01,
-2.8200087e-01,5.60000e-01,
-2.8000087e-01,5.60000e-01,
-2.7800086e-01,6.80000e-01,
-2.7600086e-01,7.20000e-01,
-2.7400085e-01,6.40000e-01,
-2.7200085e-01,6.40000e-01,
-2.7000085e-01,5.20000e-01,
-2.6800084e-01,5.60000e-01,
-2.6600084e-01,7.20000e-01,
-2.6400083e-01,7.20000e-01,
-2.6200083e-01,5.60000e-01,
-2.6000082e-01,5.20000e-01,
-2.5800082e-01,6.40000e-01,
-2.5600082e-01,6.80000e-01,
-2.5400081e-01,7.20000e-01,
-2.5200081e-01,6.40000e-01,
-2.5000080e-01,5.20000e-01,
-2.4800080e-01,5.60000e-01,
-2.4600080e-01,7.20000e-01,
-2.4400079e-01,7.20000e-01,
-2.4200079e-01,5.60000e-01,
-2.4000078e-01,5.20000e-01,
-2.3800078e-01,6.40000e-01,
-2.3600078e-01,7.20000e-01,
-2.3400077e-01,6.40000e-01,
-2.3200077e-01,6.40000e-01,
-2.3000076e-01,5.60000e-01,
-2.2800076e-01,5.60000e-01,
-2.2600076e-01,7.20000e-01,
-2.2400075e-01,7.20000e-01,
-2.2200075e-01,5.60000e-01,
-2.2000074e-01,5.20000e-01,
-2.1800074e-01,6.40000e-01,
-2.1600074e-01,6.40000e-01,
